"genotype" "location" "treatment" "timepoint" "condition" "samptype" "bleach" "propd" "origin"
"X120_64_300_h_20h" "64" "300" "h" 20 "h_300_20h" "h_20h" 3 0.016286645 "MV"
"X53_64_400_c_5h" "64" "400" "c" 5 "c_400_5h" "c_5h" 1 0.004068348 "MV"
"X105_64_400_c_20h" "64" "400" "c" 20 "c_400_20h" "c_20h" 1 0.00487126 "MV"
"X67_64_400_h_5h" "64" "400" "h" 5 "h_400_5h" "h_5h" 3 0.005360334 "MV"
"X119_64_400_h_20h" "64" "400" "h" 20 "h_400_20h" "h_20h" 3 0.001845018 "MV"
"X5_65_300_c_5h" "65" "300" "c" 5 "c_300_5h" "c_5h" 1 0 "MV"
"X134_65_300_c_20h" "65" "300" "c" 20 "c_300_20h" "c_20h" 1 0.004189944 "MV"
"X28_65_300_h_5h" "65" "300" "h" 5 "h_300_5h" "h_5h" 1 0.00168492 "MV"
"X146_65_300_h_20h" "65" "300" "h" 20 "h_300_20h" "h_20h" 1 0.002184201 "MV"
"X13_65_400_c_5h" "65" "400" "c" 5 "c_400_5h" "c_5h" 1 0.00125 "MV"
"X133_65_400_c_20h" "65" "400" "c" 20 "c_400_20h" "c_20h" 1 0.00297619 "MV"
"X20_65_400_h_5h" "65" "400" "h" 5 "h_400_5h" "h_5h" 1 0.000279799 "MV"
"X145_65_400_h_20h" "65" "400" "h" 20 "h_400_20h" "h_20h" 1 0.001223374 "MV"
"X51_68_400_c_5h" "68" "400" "c" 5 "c_400_5h" "c_5h" 1 0.003647416 "MV"
"X103_68_400_c_20h" "68" "400" "c" 20 "c_400_20h" "c_20h" 1 0.005646527 "MV"
"X65_68_400_h_5h" "68" "400" "h" 5 "h_400_5h" "h_5h" 2 0.00123885 "MV"
"X117_68_400_h_20h" "68" "400" "h" 20 "h_400_20h" "h_20h" 2 0.006543075 "MV"
"X60_7_300_c_5h" "7" "300" "c" 5 "c_300_5h" "c_5h" 1 0.974079127 "HV"
"X112_7_300_c_20h" "7" "300" "c" 20 "c_300_20h" "c_20h" 1 0.975247525 "HV"
"X74_7_300_h_5h" "7" "300" "h" 5 "h_300_5h" "h_5h" 2 0.978988327 "HV"
"X126_7_300_h_20h" "7" "300" "h" 20 "h_300_20h" "h_20h" 2 0.977443609 "HV"
"X59_7_400_c_5h" "7" "400" "c" 5 "c_400_5h" "c_5h" 1 0.985946421 "HV"
"X111_7_400_c_20h" "7" "400" "c" 20 "c_400_20h" "c_20h" 1 0.982339956 "HV"
"X73_7_400_h_5h" "7" "400" "h" 5 "h_400_5h" "h_5h" 3 0.989619377 "HV"
"X125_7_400_h_20h" "7" "400" "h" 20 "h_400_20h" "h_20h" 3 0.978196234 "HV"
"X4_70_300_c_5h" "70" "300" "c" 5 "c_300_5h" "c_5h" 1 0.234375 "MV"
"X132_70_300_c_20h" "70" "300" "c" 20 "c_300_20h" "c_20h" 1 0.259052925 "MV"
"X37_70_300_h_5h" "70" "300" "h" 5 "h_300_5h" "h_5h" 2 0.11822931 "MV"
"X144_70_300_h_20h" "70" "300" "h" 20 "h_300_20h" "h_20h" 2 0.373934561 "MV"
"X3_70_400_c_5h" "70" "400" "c" 5 "c_400_5h" "c_5h" 1 0.08194537 "MV"
"X131_70_400_c_20h" "70" "400" "c" 20 "c_400_20h" "c_20h" 1 0.191519105 "MV"
"X27_70_400_h_5h" "70" "400" "h" 5 "h_400_5h" "h_5h" 3 0.060751105 "MV"
"X143_70_400_h_20h" "70" "400" "h" 20 "h_400_20h" "h_20h" 3 0.152070819 "MV"
"X56_75_300_c_5h" "75" "300" "c" 5 "c_300_5h" "c_5h" 1 0.982791587 "HV"
"X108_75_300_c_20h" "75" "300" "c" 20 "c_300_20h" "c_20h" 1 0.964010283 "HV"
"X70_75_300_h_5h" "75" "300" "h" 5 "h_300_5h" "h_5h" 1 0.984293194 "HV"
"X122_75_300_h_20h" "75" "300" "h" 20 "h_300_20h" "h_20h" 1 0.982641042 "HV"
"X55_75_400_c_5h" "75" "400" "c" 5 "c_400_5h" "c_5h" 1 0.987995198 "HV"
"X107_75_400_c_20h" "75" "400" "c" 20 "c_400_20h" "c_20h" 1 0.976169718 "HV"
